epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,189.102,1.69358,3.29207,1.74538,0.30703,0.25847,0.16875,0.09069,1.79532,3.44998,1.91413,0.0672115,0.000331197,0.000331197
2,357.013,1.67566,3.074,1.71954,0.19908,0.25866,0.23337,0.13609,1.77743,3.21484,1.77972,0.0341896,0.0006426,0.0006426
3,536.905,1.7131,2.96858,1.72906,0.14804,0.27148,0.15687,0.07655,1.80878,3.43575,1.96834,0.00114568,0.000932004,0.000932004
4,725.835,1.64199,2.82252,1.68726,0.31706,0.27767,0.1544,0.07269,1.85467,5.11286,1.99758,0.000901,0.000901,0.000901
5,911.23,1.66244,2.83796,1.71315,0.28862,0.35866,0.26823,0.14037,1.74705,2.85122,1.82836,0.000868,0.000868,0.000868
6,1108.35,1.63378,2.80104,1.7204,0.61774,0.35719,0.40627,0.23146,1.65548,3.11056,1.75611,0.000835,0.000835,0.000835
7,1302.84,1.62728,2.72052,1.68563,0.25403,0.31881,0.28332,0.15468,1.71046,2.6817,1.84929,0.000802,0.000802,0.000802
8,1490.58,1.56962,2.67319,1.66329,0.25847,0.48287,0.34899,0.2004,1.64693,2.96695,1.70176,0.000769,0.000769,0.000769
9,1676.81,1.54858,2.63475,1.65214,0.36293,0.46563,0.38936,0.22874,1.59804,2.58627,1.70864,0.000736,0.000736,0.000736
10,1862.69,1.53947,2.55858,1.64329,0.47558,0.29048,0.34873,0.20291,1.57085,2.54466,1.66975,0.000703,0.000703,0.000703
11,2049.33,1.54037,2.53971,1.60734,0.47551,0.40855,0.39969,0.23877,1.57943,2.37037,1.67106,0.00067,0.00067,0.00067
12,2234.5,1.54857,2.48425,1.61292,0.52002,0.32243,0.36816,0.20005,1.6728,2.52809,1.71462,0.000637,0.000637,0.000637
13,2434.27,1.46553,2.42499,1.58294,0.40929,0.62265,0.50649,0.27977,1.65714,2.27554,1.70738,0.000604,0.000604,0.000604
14,2622.66,1.46912,2.44203,1.59883,0.59882,0.48215,0.46404,0.27761,1.56272,2.15073,1.60922,0.000571,0.000571,0.000571
15,2801.19,1.54007,2.43314,1.62297,0.44635,0.49156,0.50267,0.27527,1.61607,2.28286,1.66206,0.000538,0.000538,0.000538
16,2988.6,1.48278,2.3587,1.59051,0.55647,0.4369,0.49969,0.29489,1.60548,2.25628,1.623,0.000505,0.000505,0.000505
17,3175.28,1.44317,2.30729,1.56832,0.45114,0.39056,0.42457,0.2417,1.64169,2.29197,1.67562,0.000472,0.000472,0.000472
18,3420.71,1.45323,2.28555,1.56609,0.51438,0.44961,0.46727,0.27036,1.54112,2.1698,1.60855,0.000439,0.000439,0.000439
19,3653.63,1.42067,2.21856,1.55411,0.52453,0.44972,0.47925,0.27826,1.4819,2.33103,1.56231,0.000406,0.000406,0.000406
20,3874.77,1.37103,2.14809,1.50695,0.51284,0.56907,0.54204,0.29576,1.51311,2.14896,1.6015,0.000373,0.000373,0.000373
21,4102.52,1.27347,2.05213,1.49189,0.40998,0.51381,0.46603,0.29052,1.50684,2.19001,1.57932,0.00034,0.00034,0.00034
22,4316.84,1.24919,1.94108,1.44926,0.49632,0.53271,0.49499,0.31644,1.48978,2.09161,1.55583,0.000307,0.000307,0.000307
23,4536.2,1.2136,1.86564,1.42378,0.54121,0.51589,0.53287,0.31428,1.48681,1.97849,1.54562,0.000274,0.000274,0.000274
24,4756.7,1.22509,1.7439,1.44401,0.39486,0.53282,0.46274,0.28947,1.41477,2.00059,1.47194,0.000241,0.000241,0.000241
25,4978.68,1.20303,1.73403,1.41064,0.41437,0.48312,0.44904,0.27977,1.45348,2.03127,1.52746,0.000208,0.000208,0.000208
26,5202.88,1.13976,1.63963,1.37776,0.41161,0.62745,0.47414,0.29449,1.43785,2.09989,1.51355,0.000175,0.000175,0.000175
27,5426.09,1.13263,1.60183,1.35824,0.46833,0.53501,0.52348,0.33232,1.42289,1.94952,1.46957,0.000142,0.000142,0.000142
28,5630.87,1.13144,1.57724,1.36624,0.4759,0.53628,0.49717,0.31748,1.45059,2.01274,1.50001,0.000109,0.000109,0.000109
29,5857.5,1.1311,1.53929,1.37633,0.41597,0.58069,0.49358,0.3116,1.44173,1.99763,1.49738,7.6e-05,7.6e-05,7.6e-05
30,6032.26,1.12996,1.53889,1.35778,0.42977,0.57963,0.50578,0.31899,1.44525,1.96582,1.49551,4.3e-05,4.3e-05,4.3e-05
